Team,Matches,Wins,Draws,Losses,Points,WinRate_Percent
Brazil,114,76,19,19,247,66.7
Germany,112,68,21,23,225,60.7
Argentina,88,47,17,24,158,53.4
Italy,83,45,21,17,156,54.2
France,73,39,14,20,131,53.4
England,74,32,22,20,118,43.2
Spain,67,31,17,19,110,46.3
Netherlands,55,30,14,11,104,54.5
Uruguay,59,25,13,21,88,42.4
Belgium,51,21,10,20,73,41.2
Sweden,51,19,13,19,70,37.3
Russia,45,19,10,16,67,42.2
Mexico,60,17,15,28,66,28.3
Serbia,49,18,9,22,63,36.7
Portugal,35,17,6,12,57,48.6
Poland,38,17,6,15,57,44.7
Switzerland,41,14,8,19,50,34.1
Hungary,32,15,3,14,48,46.9
Croatia,30,13,8,9,47,43.3
Slovakia,34,12,6,16,42,35.3
Czech Republic,33,12,5,16,41,36.4
Austria,29,12,4,13,40,41.4
Chile,33,11,7,15,40,33.3
United States,37,9,8,20,35,24.3
Denmark,23,9,6,8,33,39.1
Paraguay,27,7,10,10,31,25.9
South Korea,38,7,10,21,31,18.4
Colombia,22,9,3,10,30,40.9
Romania,21,8,5,8,29,38.1
Japan,25,7,6,12,27,28.0
Costa Rica,21,6,5,10,23,28.6
Cameroon,26,5,8,13,23,19.2
Morocco,23,5,7,11,22,21.7
Nigeria,21,6,3,12,21,28.6
Scotland,23,4,7,12,19,17.4
Senegal,12,5,3,4,18,41.7
Ghana,15,5,3,7,18,33.3
Peru,18,5,3,10,18,27.8
Ecuador,13,5,2,6,17,38.5
Bulgaria,26,3,8,15,17,11.5
Turkey,10,5,1,4,16,50.0
Australia,20,4,4,12,16,20.0
Republic of Ireland,13,2,8,3,14,15.4
Northern Ireland,13,3,5,5,14,23.1
Tunisia,18,3,5,10,14,16.7
Saudi Arabia,19,4,2,13,14,21.1
Iran,18,3,4,11,13,16.7
Algeria,13,3,3,7,12,23.1
Ivory Coast,9,3,1,5,10,33.3
South Africa,9,2,4,3,10,22.2
Norway,8,2,3,3,9,25.0
East Germany,6,2,2,2,8,33.3
Greece,10,2,2,6,8,20.0
Ukraine,5,2,1,2,7,40.0
Wales,8,1,4,3,7,12.5
Slovenia,6,1,1,4,4,16.7
Cuba,3,1,1,1,4,33.3
North Korea,7,1,1,5,4,14.3
Bosnia and Herzegovina,3,1,0,2,3,33.3
Jamaica,3,1,0,2,3,33.3
New Zealand,6,0,3,3,3,0.0
Honduras,9,0,3,6,3,0.0
Angola,3,0,2,1,2,0.0
Israel,3,0,2,1,2,0.0
Egypt,7,0,2,5,2,0.0
Iceland,3,0,1,2,1,0.0
Kuwait,3,0,1,2,1,0.0
Trinidad and Tobago,3,0,1,2,1,0.0
Bolivia,6,0,1,5,1,0.0
Iraq,3,0,0,3,0,0.0
Togo,3,0,0,3,0,0.0
Qatar,3,0,0,3,0,0.0
Indonesia,1,0,0,1,0,0.0
Panama,3,0,0,3,0,0.0
United Arab Emirates,3,0,0,3,0,0.0
China,3,0,0,3,0,0.0
Canada,6,0,0,6,0,0.0
Haiti,3,0,0,3,0,0.0
DR Congo,3,0,0,3,0,0.0
El Salvador,6,0,0,6,0,0.0
Cape Verde,0,0,0,0,0,
Curaçao,0,0,0,0,0,
Jordan,0,0,0,0,0,
Uzbekistan,0,0,0,0,0,
