Year,Host,Champions,Winning coach,Top scorer(s),Best player award,Source
1930,Uruguay,Uruguay,Alberto Suppici,Guillermo Stábile (8),Not awarded,[6]
1934,Italy,Italy,Vittorio Pozzo,Oldřich Nejedlý (5),Not awarded,[7]
1938,France,Italy,Vittorio Pozzo,Leônidas (7),Not awarded,[8]
1950,Brazil,Uruguay,Juan López,Ademir (9),Not awarded,[9]
1954,Switzerland,West Germany,Sepp Herberger,Sándor Kocsis (11),Not awarded,[10]
1958,Sweden,Brazil,Vicente Feola,Just Fontaine (13),Not awarded,[11]
1962,Chile,Brazil,Aymoré Moreira,Six players (4),Not awarded,[12]
1966,England,England,Alf Ramsey,Eusébio (9),Not awarded,[13]
1970,Mexico,Brazil,Mário Zagallo,Gerd Müller (10),Not awarded,[14]
1974,West Germany,West Germany,Helmut Schön,Grzegorz Lato (7),Not awarded,[15]
1978,Argentina,Argentina,César Luis Menotti,Mario Kempes (6),Mario Kempes,[16][17]
1982,Spain,Italy,Enzo Bearzot,Paolo Rossi (6),Paolo Rossi,[16][18]
1986,Mexico,Argentina,Carlos Bilardo,Gary Lineker (6),Diego Maradona,[16][19]
1990,Italy,West Germany,Franz Beckenbauer,Salvatore Schillaci (6),Salvatore Schillaci,[16][20]
1994,United States,Brazil,Carlos Alberto Parreira,Hristo Stoichkov (6)  Oleg Salenko (6),Romário,[16][21]
1998,France,France,Aimé Jacquet,Davor Šuker (6),Ronaldo,[16][22]
2002,South Korea  Japan,Brazil,Luiz Felipe Scolari,Ronaldo (8),Oliver Kahn,[16][23]
2006,Germany,Italy,Marcello Lippi,Miroslav Klose (5),Zinedine Zidane,[16][24]
2010,South Africa,Spain,Vicente del Bosque,Four players (5),Diego Forlán,[16][25]
2014,Brazil,Germany,Joachim Löw,James Rodríguez (6),Lionel Messi,[26][16][27]
2018,Russia,France,Didier Deschamps,Harry Kane (6),Luka Modrić,[28][29]
2022,Qatar,Argentina,Lionel Scaloni,Kylian Mbappé (8),Lionel Messi,[30]
